,App,Size,Price,user_rating,Ratings,cont_rating,Genre,language
0,PAC-MAN Premium,100788224,3.99,21292,4.0,4+,Games,10
1,Evernote - stay organized,158578688,0.0,161065,4.0,4+,Productivity,23
2,"WeatherBug - Local Weather, Radar, Maps, Alerts",100524032,0.0,188583,3.5,4+,Weather,3
3,"eBay: Best App to Buy, Sell, Save! Online Shopping",128512000,0.0,262241,4.0,12+,Shopping,9
4,Bible,92774400,0.0,985920,4.5,4+,Reference,45
5,Shanghai Mahjong,10485713,0.99,8253,4.0,4+,Games,1
6,PayPal - Send and request money safely,227795968,0.0,119487,4.0,4+,Finance,19
7,Pandora - Music & Radio,130242560,0.0,1126879,4.0,12+,Music,1
8,PCalc - The Best Calculator,49250304,9.99,1117,4.5,4+,Utilities,1
9,Ms. PAC-MAN,70023168,3.99,7885,4.0,4+,Games,10
10,Solitaire by MobilityWare,49618944,4.99,76720,4.5,4+,Games,11
11,SCRABBLE Premium,227547136,7.99,105776,3.5,4+,Games,6
12,Google – Search made just for mobile,179979264,0.0,479440,3.5,17+,Utilities,33
13,Bank of America - Mobile Banking,160925696,0.0,119773,3.5,4+,Finance,2
14,FreeCell,55153664,4.99,6340,4.5,4+,Games,2
15,TripAdvisor Hotels Flights Restaurants,207907840,0.0,56194,4.0,4+,Travel,26
16,Facebook,389879808,0.0,2974676,3.5,4+,Social Networking,29
17,"Yelp - Nearby Restaurants, Shopping & Services",167407616,0.0,223885,4.0,12+,Travel,18
18,"Shazam - Discover music, artists, videos & lyrics",147093504,0.0,402925,4.0,12+,Music,16
19,Crash Bandicoot Nitro Kart 3D,10735026,2.99,31456,4.0,4+,Games,1
20,iQuran,70707916,1.99,2929,4.5,4+,Reference,2
21,:) Sudoku +,6169600,2.99,11447,5.0,4+,Games,1
22,"Yahoo Sports - Teams, Scores, News & Highlights",130583552,0.0,137951,4.0,4+,Sports,6
23,Mileage Log | Fahrtenbuch,71203840,5.99,8,4.5,4+,Business,3
24,Cleartune - Chromatic Tuner,11423008,3.99,3241,4.0,4+,Music,10
25,Lifesum – Inspiring healthy lifestyle app,188017664,0.0,5795,3.5,4+,Health & Fitness,11
26,Hangman.,4765696,0.0,42316,3.0,9+,Games,1
27,iTranslate - Language Translator & Dictionary,287933440,0.0,123215,3.5,4+,Productivity,23
28,TouchOSC,4263936,4.99,782,4.0,4+,Music,1
29,RadarScope,172772352,9.99,3449,4.0,4+,Weather,1
30,LinkedIn,273844224,0.0,71856,3.5,4+,Social Networking,23
31,Period Tracker Deluxe,40216576,1.99,13350,4.5,12+,Health & Fitness,15
32,Election 2016 Map,2386944,0.99,137,3.0,4+,Entertainment,1
33,Blackjack by MobilityWare,105431040,0.0,180087,3.5,12+,Games,5
34,White Noise,44129280,0.99,33426,4.0,4+,Health & Fitness,3
35,iHeartRadio – Free Music & Radio Stations,116443136,0.0,293228,4.0,12+,Music,2
36,Line Rider iRide™,1646592,1.99,21609,3.5,9+,Entertainment,1
37,Deliveries: a package tracker,30016512,4.99,4684,4.0,4+,Utilities,9
38,Hurricane Pro,29518848,2.99,2104,4.5,17+,Weather,1
39,Fieldrunners,66872320,2.99,41633,4.0,9+,Games,1
40,Juxtaposer,45229056,2.99,3610,4.5,4+,Photo & Video,1
41,Deezer - Listen to your Favorite Music & Playlists,127470592,0.0,4677,3.0,12+,Music,21
42,iStellar,44241920,3.99,30,3.5,4+,Navigation,2
43,Sonos Controller,107983872,0.0,48905,4.5,4+,Music,12
44,Avertinoo,8044544,4.99,32,3.0,4+,Navigation,7
45,Google Earth,37214208,0.0,446185,3.5,4+,Travel,30
46,iFart - The Original Fart Sounds App,60320768,1.99,21825,3.0,9+,Entertainment,1
47,PAC-MAN,100849664,0.0,508808,3.0,4+,Games,10
48,FOX Sports Mobile,72748032,0.0,57500,3.0,4+,Sports,1
49,First Words Animals,32164864,1.99,2576,4.0,4+,Games,1
50,WeatherPro,69079040,1.99,1572,4.0,4+,Weather,13
51,HotSchedules,82037760,2.99,3292,3.0,4+,Business,2
52,Star Walk - Find Stars And Planets in Sky Above,150195200,4.99,8932,4.5,4+,Education,12
53,"The Weather Channel: Forecast, Radar & Alerts",199734272,0.0,495626,3.5,4+,Weather,33
54,Big Day - Event Countdown,13156352,0.99,812,3.0,4+,Lifestyle,7
55,12 Steps AA Companion - Alcoholics Anonymous,30367744,2.99,1583,3.5,12+,Lifestyle,1
56,OpenTable - Restaurant Reservations,93420544,0.0,113936,4.5,4+,Food & Drink,6
57,VLC Remote,31505408,4.99,2027,4.0,4+,Entertainment,33
58,gFlashPro - Flashcards & Tests,25997312,3.99,768,4.0,4+,Education,3
59,Lose It! – Weight Loss Program and Calorie Counter,182054912,0.0,373835,4.0,4+,Health & Fitness,1
60,Target,138754048,0.0,108131,3.0,4+,Shopping,1
61,Fish Tycoon,13564835,0.99,18943,3.5,4+,Games,1
62,"Amazon App: shop, scan, compare, and read reviews",133688320,0.0,126312,3.5,4+,Shopping,8
63,Touchgrind,55205888,4.99,35735,4.0,4+,Games,0
64,ProPresenter Remote,46922752,4.99,410,3.0,4+,Utilities,1
65,iReal Pro - Music Book & Play Along,63283200,12.99,1390,4.5,4+,Music,33
66,NRJ Radio,53426176,0.0,38,3.5,4+,Music,4
67,Chase Mobile℠,39505920,0.0,233270,4.5,4+,Finance,2
68,大辞林,210088960,21.99,64,4.5,4+,Reference,2
69,Allrecipes Dinner Spinner,36399104,0.0,109349,3.5,12+,Food & Drink,1
70,新浪新闻-阅读最新时事热门头条资讯视频,115143680,0.0,2229,3.5,17+,News,1
71,MotionX GPS,56481792,1.99,14970,3.5,4+,Navigation,1
72,AccuWeather - Weather for Life,181941248,0.0,144214,3.5,4+,Weather,43
73,"Mint: Personal Finance, Budget, Bills & Money",162891776,0.0,232940,4.0,4+,Finance,1
74,ABC News - US & World News + Live Video,98108416,0.0,48407,3.0,12+,News,1
75,Rowmote: Remote Control for Mac,54088704,0.99,5531,3.5,4+,Utilities,13
76,Peekaboo Barn,50155520,1.99,3393,4.0,4+,Education,1
77,Speedtest by Ookla,23936000,0.0,65016,3.5,4+,Utilities,17
78,Pocket God,145293312,0.99,187529,4.0,9+,Entertainment,1
79,Nike+ Training Club - Workouts & Fitness Plans,140367872,0.0,33969,3.5,4+,Health & Fitness,17
80,Citi Mobile®,281244672,0.0,48822,3.5,4+,Finance,1
81,Phase 10 Pro - Play Your Friends!,66695168,1.99,59155,4.5,4+,Games,1
82,"Kindle – Read eBooks, Magazines & Textbooks",169747456,0.0,252076,3.5,4+,Book,9
83,MASH,41691136,1.99,4913,4.0,9+,Games,15
84,同花顺-炒股、股票,122886144,0.0,1744,3.5,4+,Finance,1
85,Wedding Dash Deluxe,55803904,0.99,16567,4.5,4+,Games,1
86,Beer Pong Game,188956672,0.0,187315,2.0,17+,Games,9
87,Tempo - Metronome with Setlists,22185984,2.99,4781,4.5,4+,Music,10
88,Skat,66160640,3.99,94,4.5,4+,Games,1
89,Color Splash,28135424,0.99,29554,4.0,4+,Photo & Video,3
90,Zombieville USA,27962441,0.99,32988,4.0,12+,Games,1
91,Skype for iPhone,133238784,0.0,373519,3.5,4+,Social Networking,32
92,Tumblr,151573504,0.0,334293,4.0,17+,Social Networking,16
93,iSwap Faces,27069440,1.99,2302,3.5,4+,Photo & Video,1
94,Match™ - #1 Dating App.,101259264,0.0,60659,3.0,17+,Social Networking,10
95,Tozzle - Toddler's favorite puzzle,168192000,2.99,2562,4.0,4+,Games,4
96,HomeBudget with Sync,17485824,4.99,3042,3.5,4+,Finance,11
97,Wind Meter,5234688,0.99,338,2.5,4+,Weather,1
98,Map My Run+ - GPS Running & Workout Tracker,237913088,2.99,16434,4.5,4+,Health & Fitness,9
99,Map My Ride+ - GPS Cycling & Route Tracker,233513984,2.99,10046,4.5,4+,Health & Fitness,9
100,"HuffPost - News, Politics & Entertainment",110420992,0.0,29107,3.0,12+,News,10
101,Phrase Party!,47774720,1.99,878,4.0,17+,Games,1
102,Minesweeper Classic,22259712,0.99,1140,3.5,4+,Games,1
103,Sally's Spa,431771648,2.99,35074,4.5,4+,Games,6
104,"CBS Sports App - Sports Scores, News, Stats, Watch",120357888,0.0,59639,3.0,17+,Sports,1
105,Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,90828800,4.99,2913,4.0,4+,Health & Fitness,1
106,iSwap Faces LITE,30796800,0.0,39722,3.0,4+,Photo & Video,1
107,DIRECTV,151397376,0.0,81006,3.5,4+,Entertainment,1
108,NYTimes Crossword - Daily Word Puzzle Game,46880768,0.0,53465,3.5,4+,Games,1
109,Doodle Jump,48741376,0.99,395261,4.5,4+,Games,1
110,LEDit – The LED Banner App,17145856,1.99,2021,4.5,4+,Utilities,12
111,niconico,25808896,0.0,182,3.0,17+,Entertainment,3
112,Fandango Movies - Times + Tickets,81924096,0.0,291787,4.0,4+,Entertainment,1
113,iCab Mobile (Web Browser),19451904,1.99,2441,4.0,17+,Utilities,12
114,iRagdoll - Ragdoll Physics,118683648,0.99,1372,4.0,12+,Games,1
115,Proloquo2Go - Symbol-based AAC,723764224,249.99,773,4.0,4+,Education,3
116,Dictionary.com Dictionary & Thesaurus,111275008,0.0,200047,4.0,4+,Reference,1
117,20 Minutes.fr - l'actualité en continu,109616128,0.0,112,3.5,12+,News,17
118,The Masters Tournament,120725504,0.0,148160,4.5,4+,Sports,1
119,myAT&T,68491264,0.0,108507,3.0,4+,Utilities,2
120,SFR TV,122153984,0.0,46,3.0,4+,Entertainment,1
121,"Shutterfly: Prints, Photo Books, Cards Made Easy",122315776,0.0,51427,4.0,4+,Photo & Video,1
122,StickWars,17010688,0.99,53821,3.5,12+,Games,1
123,Indeed Job Search,3691520,0.0,38681,4.0,4+,Business,28
124,World Cup Table Tennis™,31387648,0.99,17776,4.0,4+,Games,11
125,WhatsApp Messenger,135044096,0.0,287589,4.5,4+,Social Networking,35
126,"iStudiez Pro – Homework, Schedule, Grades",55815168,2.99,7308,4.0,4+,Productivity,30
127,Zillow Real Estate - Homes for Sale & for Rent,132632576,0.0,342969,4.5,4+,Lifestyle,1
128,2XL Supercross,270729216,4.99,6093,4.0,4+,Games,7
129,Pocket Tanks Deluxe,39827456,4.99,5452,4.5,9+,Games,1
130,Wells Fargo Mobile,57328640,0.0,43064,3.0,4+,Finance,2
131,radio.de - Der Radioplayer,40717312,0.0,64,4.5,4+,Music,14
132,AutoScout24 - mobile used & new car market,141136896,0.0,220,4.5,4+,Productivity,13
133,Sky Burger - Build & Match Food Free,146228224,0.0,114096,4.5,4+,Games,3
134,MindNode – Delightful Mind Mapping,52294656,9.99,1296,4.0,4+,Productivity,13
135,Packing Pro,16332800,2.99,1293,4.0,4+,Travel,11
136,USAA Mobile,164382720,0.0,19946,4.0,4+,Finance,1
137,The Moron Test,45712384,0.0,88613,4.0,4+,Entertainment,1
138,Sunday Lawn,16086016,0.99,107727,3.5,4+,Games,1
139,Peggle Classic,223805440,0.99,21416,4.5,4+,Games,5
140,SmartGo Player,22159360,2.99,533,4.0,4+,Games,9
141,I Am T-Pain 2.0,20542280,2.99,32650,3.5,12+,Music,1
142,TextNow - Unlimited Text + Calls,130637824,0.0,164963,3.5,4+,Social Networking,3
143,Boating Weather,8900608,1.99,141,3.0,4+,Weather,1
144,Best Buy,180500480,0.0,80424,4.0,4+,Shopping,2
145,I Dig It,19853312,0.99,17190,4.0,4+,Games,1
146,Unblock Me,42926080,0.99,7973,4.0,4+,Games,15
147,Sonic The Hedgehog,36692992,2.99,19621,4.0,4+,Games,1
